Fiscal Year,N_GDP,N_C,N_I,N_G,N_TAX,N_TR,i
1980,261681.3,133943.4,46238.2,37416,268687,257944,7.25
1981,278399.5,142341.3,48158.2,40230.3,289521,287529,5.5
1982,291413,152629.8,49269.1,42286.3,305111,310937,5
1983,305549,160319.1,50933.1,44222.8,323583,333525,5
1984,324344.9,168197.1,56192.4,46111.9,349084,349769,5
1985,345766.3,178128.8,60165.5,48252.9,381988,370475,5
1986,360006.6,184764.8,62847.1,50183.9,418768,400777,3.5
1987,381354.9,194405.2,67515.3,52282.2,467979,424159,2.5
1988,407504.2,205920.7,79971.8,54510.1,508265,443344,3
1989,434826.4,219342.7,87370.2,58046.7,549218,469399,3.8
1990,470873.7,236712.8,99947.3,62617.4,601059,497246,6
1991,496058.5,249178.1,102737.8,66412.6,598204,531576,5.5
1992,505820.5,256952.6,95753.1,70290.3,544453,573045,3.5
1993,504509.6,263834.3,81852.4,72813.6,541262,611001,2.5
1994,511958.8,270953.3,80484.5,76328.4,510300,647100,1.75
1995,525299.5,276324.8,85897.5,79149.3,519308,681944,0.5
1996,538659.6,283765.4,89692.6,81806.4,520601,698087,0.5
1997,542508,284796.5,91411.1,83390.8,539415,728467,0.45
1998,534564.1,284701.1,87008.7,84466.8,494319,759746,0.25
1999,530298.6,286639.2,84212.3,86155.2,472345,801858,0.02
2000,537614.2,287984.1,87966.2,89491.2,507125,820478,0.25
2001,527410.5,288901.6,82499.4,92354.3,479481,860120,0
2002,523465.9,288839.8,78221.9,92662.8,438332,875900,0
2003,526219.9,288061.1,78796.3,93502.4,432824,880534,0
2004,529637.9,289855,81037.9,93952.3,455890,894268,0
2005,534106.2,293091.6,87009.3,94481.5,490654,922627,0
2006,537257.9,294634.2,89082.2,94097.9,490691,935546,0.25
2007,538485.5,296432.3,88517.9,95581.8,510182,959666,0.5
2008,516174.9,290695.7,83495.3,94893.3,442673,984849,0.3
2009,497364.2,285779.6,71813.2,96075.9,387331,1054144,0.1
2010,504873.7,286110.2,72539.8,97753.9,414868,1084436,0.1
2011,500046.2,286945.8,74920.1,99435.8,428326,1118461,0.1
2012,499420.6,289477.1,75794.8,99963.2,439314,1124884,0.1
2013,512677.5,298772.1,80547.3,101443.1,469529,1143635,0.1
2014,523422.8,297522.6,83792.6,104157.8,539707,1157246,0.1
2015,540740.8,299840.7,86962.4,106285.5,562854,1208340,0.1
2016,544829.9,298336.2,87000.6,106798.1,554686,1222546,-0.1
2017,555712.5,303006,90183.4,107706.7,587875,1242364,-0.1
2018,556570.5,304774.3,92385.8,109089.1,603564,1254938,-0.1
2019,556800.7,303934.9,91502.5,111826.5,584415,1279000,-0.1
2020,538787.8,289363,85940.7,113831.6,608216,1363763,-0.1
2021,554913.3,297986.7,91354.2,118729.6,670379,1430106,-0.1
2022,567112.7,315406.3,98385,122033.6,711374,1426826,-0.1
2023,593903.4,323188.9,101063.8,122459.4,720761,1398561,-0.1