,一般会計税収,所得税収,法人税収,消費税収
1979,237295,92720,73859,
1980,268687,107996,89227,
1981,289521,119804,88225,
1982,305111,128455,91346,
1983,323583,136428,98245,
1984,349084,140638,113402,
1985,381988,154350,120207,
1986,418768,168267,130911,
1987,467979,174371,158108,
1988,508265,179538,184381,
1989,549218,213815,189933,32699
1990,601059,259955,183836,46227
1991,598204,267493,165951,49763
1992,544453,232314,137136,52409
1993,541262,236865,121379,55865
1994,510300,204175,123631,56315
1995,519308,195151,137354,57901
1996,520601,189649,144833,60568
1997,539415,191827,134754,93047
1998,494319,169961,114232,100744
1999,472345,154468,107951,104471
2000,507125,187889,117472,98221
2001,479481,178065,102578,97671
2002,438332,148122,95234,98115
2003,432824,139146,101152,97128
2004,455890,146705,114437,99743
2005,490654,155859,132736,105834
2006,490691,140541,149179,104633
2007,510182,160800,147444,102719
2008,442673,149851,100106,99689
2009,387331,129139,63564,98075
2010,414868,129844,89677,100333
2011,428326,134762,93514,101946
2012,439314,139925,97583,103504
2013,469529,155308,104937,108293
2014,539707,167902,110316,160290
2015,562854,178071,108274,174263
2016,554686,176111,103289,172282
2017,587875,188816,119953,175139
2018,603564,199006,123180,176809
2019,584415,191707,107971,183527
2020,608216,191898,112346,209714
2021,670379,213822,136428,218886
2022,711374,225217,149398,230793
2023,720761,220530,158606,230923
2024,752321,212086,179102,250212